plot,spnurse,das_m,H_arvore_m,H_copa_m,diam_copaN_m,diam_copaL_m,diam_medio
19,jubranca,0.36,6,4.5,4.6,5,4.8
20,jupreta,0.69,5.5,3.5,6.5,6.3,6.4
21,catingueira,0.45,4,2,5.5,5,5.25
22,jupreta,0.66,6,4.5,6,7.8,6.9
23,cumaru,0.98,6.5,5,10,9.5,9.75
24,feijao,0.59,4,2,4.8,3.8,4.3
25,marmeleiro,0.28,4,3,3.7,3.4,3.55
27,imbiratanha,0.8,7.5,5.5,6.5,4.4,5.45
28,paubranco,0.46,6.5,5,3.3,2.7,3
30,catanduva,1.16,13,10,6.94,5.6,6.27
32,umbu,1.36,7.5,6.5,18,19,18.5
33,paubranco,0.65,7.5,6.5,5.4,4.6,5
34,ipe,0.55,6,5.5,5.6,6.4,6
35,catingueira,0.27,2.5,1.1,4.4,4.9,4.65
38,angico,0.54,6,3,6.6,6.7,6.65
41,burra,0.26,4.5,3,2.9,4.1,3.5
43,catanduva,0.26,4,2.5,3.1,3.3,3.2
46,jubranca,0.41,6,4,3.5,3,3.25
48,marmeleiro,0.3,3,2,3,3.4,3.2
51,marmeleiro,0.22,3.5,3,2.5,1.9,2.2
52,paubranco,0.4,6,4,3.3,3.5,3.4
53,cumaru,1.12,11,8.5,11.6,10.7,11.15
55,ipe,0.6,5.5,3.5,6.5,6.5,6.5
56,jubranca,0.54,5.5,4.5,8.5,7.7,8.1
57,imburana,0.4,3.5,2,1.9,3.1,2.5
58,angico,0.24,4,2,3.2,3.5,3.35
60,mofumbo,0.29,2,1,2.5,2.3,2.4
61,marmeleiro,0.16,"2,5",2,2.3,2.8,2.55
62,mofumbo,0.25,3.5,2.5,3.5,3.8,3.65
64,catingueira,0.3,4.5,3.5,4.7,5.5,5.1
65,catanduva,0.3,4.5,4,5.2,3.3,4.25
66,pereiro,0.29,3.5,1.5,3,3.3,3.15
67,feijao,0.5,4.5,2,4.5,4.1,4.3
68,jubranca,0.44,7.5,6,5.5,5.3,5.4
69,mororo,0.18,3.5,2.5,6.4,4.6,5.5
70,jubranca,0.3,5,4,7.9,5.9,6.9
71,mofumbo,0.2,3.5,2,5,3.4,4.2
72,marmeleiro,0.33,3.5,2.5,3.1,3.2,3.15
73,imbiratanha,0.5,4.5,2.5,2.9,2.1,2.5
74,imburana,0.55,5,4,5.5,6.6,6.05
75,feijao,0.33,3,2,2.5,2.2,2.35
76,imburana,1.12,7.5,5,6.5,4.1,5.3
78,imbiratanha,0.72,6,4,3.7,4.2,3.95
79,mororo,0.23,5.5,3.5,2.8,2.6,2.7
80,feijao,0.52,8,6,5.9,7,6.45
81,burra,0.3,3,2,4.5,4,4.25
82,pereiro,0.45,9.5,7,11,10,10.5
84,mororo,0.2,5,3,5.7,6,5.85
85,angico,0.65,7.5,5,8.2,7.8,8
88,burra,0.19,3,2,1.8,2.2,2
95,catingueira,0.66,6.5,4.5,8,7.5,7.75
93,mororo,0.15,3.5,2,2.5,3,2.75
97,cumaru,0.76,5.2,3,8.4,7.8,8.1
98,jupreta,0.65,6,2.5,5.7,5.2,5.45
100,cumaru,0.63,5,3.5,6.3,6.8,6.55
101,pereiro,0.73,7.5,5.5,5.5,6.7,6.1
102,burra,0.4,4,3.5,3.7,3.4,3.55
108,catanduva,0.57,7.5,6,4.8,5.3,5.05
110,paubranco,0.35,4.5,3.5,2.4,2.4,2.4
111,angico,0.32,3.4,1.7,2.5,2.8,2.65
112,ipe,0.37,5,4,3,3.6,3.3
113,algodao,0.6,7,5,3.7,5.9,4.8
115,umbu,0.02,6.5,6.5,14.5,15.4,14.95
118,ipe,0.44,4.5,4.5,4.4,5.6,5
119,mofumbo,0,5,4,3,4.2,3.6
122,algodao,0.6,5.5,3.5,2.5,3.5,3
123,algodao,0.6,5,3,3.4,2.6,3
124,favelinha,0.73,3.5,3,3.3,3.17,3.235
125,jupreta,0.7,4,2,7.5,6,6.75
126,jupreta,0.84,5,1.5,5.4,6.1,5.75
127,catingueira,0.72,4,3,6,5.3,5.65
128,burra,0.46,5,4,4.2,3.6,3.9
129,pereiro,0.8,8,7,4.4,4.4,4.4
130,juca,2.6,4.5,4.5,7.5,8.2,7.85
131,catanduva,1.02,9,8,6.6,8.5,7.55
132,ipe,0.6,6,6,6.4,6.7,6.55
134,feijao,0.44,3.5,1.5,4.5,3.8,4.15
136,juca,1.34,4.6,3.1,9.4,8.5,8.95
137,mofumbo,0.48,2.5,2.5,3,2.5,2.75
138,favelinha,0,2.5,2.5,1.9,1.81,1855
139,juca,2,5.5,3.5,7.9,5.4,6.65
