plot,spnurse,numerofinas,numerogrossas,1F_db_mm,1F_df_mm,1_dist_mm,2F_db_mm,2F_df_mm,2F_dist_mm,3F_db_mm,3F_df_mm,3F_dist_mm,4F_db_mm,4F_df_mm,4F_dist_mm,5F_db_mm,5F_df_mm,5F_dist_mm,1G_db_mm,1G_df_mm,1G_dist_mm,2G_db_mm,2G_df_mm,2G_dist_mm,3G_db_mm,3G_df_mm,3G_dist_mm,4G_db_mm,4G_df_mm,4G_dist_mm,5G_db_mm,5G_df_mm,5G_dist_mm,Piv_db_mm,Piv_df_mm,Piv_dist_mm,amost_diam_mm,comp_mm
113,algodao,4,7,8.9,8.2,70,3.7,3.1,120,3.4,2.3,170,6.7,6.2,170,11.5,8.4,100,29.3,26.6,170,39.7,37.1,170,44.5,43,100,40.7,39.3,200,NA,NA,NA,NA,NA,NA,9.1,140
156,algodao,1,3,2.2,1.7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,16.6,200,40.1,30.8,200,17.2,12,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,155
157,algodao,1,2,1.6,1.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4,58.3,200,10.8,7.7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,170
111,angico,5,8,8.8,5.7,200,5.3,1.8,200,4.9,1.6,200,0.9,0.4,150,0.6,0.2,120,30.1,21.6,200,20.3,18.5,200,17.4,15,200,24.1,15.9,160,18.7,17.4,200,24.3,21.4,50,5.7,150
58,angico,5,4,3.5,2,110,7.5,5,200,3,2.5,90,NA,NA,NA,NA,NA,NA,11.5,10.5,125,28,24,200,22.5,19,200,11,9,150,NA,NA,NA,35.5,31,30,5.5,155
144,angico,8,9,2.6,2,170,3.8,2.4,130,0.9,0.8,50,1.6,0.8,100,3.4,2.7,200,37.1,37,200,31.9,30.4,170,31.4,30.4,200,25.6,24,100,15.7,14.9,130,NA,NA,NA,14.9,145
102,burra,3,5,4.5,2.7,100,1.8,1.4,150,0.9,0.7,50,NA,NA,NA,NA,NA,NA,27.7,19.9,200,19.2,18.2,200,17.5,15.3,200,15.9,15.2,200,8.8,7.2,200,57.6,47,100,5.8,110
88,burra,22,5,3,1.2,50,1.6,36,120,2.2,2.1,100,0.5,0.3,50,0.7,0.6,100,13.4,12.3,200,10.3,6.9,160,10.1,7.9,200,5,4.2,100,5,4.1,120,NA,NA,NA,5.4,130
128,burra,23,6,5,4.1,100,2.9,2.7,200,7.3,5.6,170,5.3,4.5,200,2.2,2,200,22.3,16.6,200,21.8,14.2,200,21.9,18.2,100,15.3,12,200,12.8,12.4,100,NA,NA,NA,6.5,125
43,catanduva,6,3,5.8,1.5,200,9,5.3,100,3.6,0.2,100,3.8,0.9,70,1.8,0.2,100,66.5,45.3,200,32.6,31.8,150,36,20,150,23,16.8,200,NA,NA,NA,38.7,25.6,123,12.3,120
108,catanduva,15,5,1.4,0.4,70,6.4,2.1,150,4,0.9,200,4,5,100,6.4,3.1,100,55.8,42.5,200,20.3,13.8,200,42,35,150,20,18.4,150,50,32.7,200,126.7,81.6,50,15.2,110
131,catanduva,23,7,6.1,2.8,170,2.8,2.6,190,5.6,2.9,200,2.1,1.9,170,2.1,1.8,70,36.2,30.5,100,35.2,35,100,13.7,8.5,200,13.6,10.7,200,39,38.5,160,NA,NA,NA,8.1,120
21,catingueira,33,24,2.4,1.1,200,2.5,0.9,200,2.2,1.8,200,3.5,1.1,200,2.1,0.7,200,12.1,7.8,200,18.1,13.7,200,13.4,11.8,200,9.8,7.7,200,6.2,3.8,200,78.8,72.9,100,14.6,120
35,catingueira,26,8,4,2.1,200,4.9,3,200,5.3,3.4,200,3.9,3,200,7.5,4.8,200,24.4,20.2,200,25.9,23.2,200,39.5,30.6,200,18,16.1,200,36,34,200,46.3,39,100,4.7,55
95,catingueira,1,8,6.6,5.6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,14.7,200,67.8,52.7,200,26.4,22.7,200,33.2,18.3,200,30.7,20.3,200,NA,NA,NA,14.1,130
97,cumaru,12,0,14.4,8.1,200,5.7,3.8,200,1.4,1.3,200,2.1,1.1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,390,200,14.8,110
149,cumaru,15,1,5.4,4.8,200,1.5,1.4,200,4,3.8,200,11.4,3.8,200,3.6,2.9,200,132.5,122.2,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,159,50,6.3,165
53,cumaru,3,0,7.7,7.5,150,4.8,4.1,200,3,1.2,200,1.4,1.3,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,235,100,13,75
155,favelinha,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,7,70,11.6,9,100,6.9,9.2,120,NA,NA,NA,NA,NA,NA,42.4,40.4,40,5.8,130
124,favelinha,3,3,5.2,3.3,200,10.8,7.2,100,4.1,2.6,100,NA,NA,NA,NA,NA,NA,16.8,14.8,100,13,11.8,130,23.7,18.7,150,NA,NA,NA,NA,NA,NA,45.4,38.2,50,8.2,130
154,favelinha,17,4,1.7,1.4,200,2,1.9,200,1.6,1,50,3.4,2.9,200,0.9,0.8,70,14,9.9,200,16.2,12.6,200,11.8,10,70,8.2,6.8,120,NA,NA,NA,29,27.9,50,5.2,100
24,feijao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,feijao,18,0,5.3,4.3,170,3.6,1.8,200,0.9,0.8,110,0.4,0.3,110,7.7,6.9,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,89.7,100,6.1,65
134,feijao,4,2,0.5,0.4,50,2.7,2.5,50,1.9,1.2,50,1.5,1,100,NA,NA,NA,64.7,52.1,160,10.7,8.3,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,145
27,imbiratanha,4,4,2,0.1,60,4.2,2.1,100,1,0.8,80,0.7,0.6,130,NA,NA,NA,20.1,16.1,200,14.1,12.6,200,33,25,200,39.4,38.3,200,NA,NA,NA,145.6,143.1,200,11.7,160
73,imbiratanha,3,4,0.5,0.3,200,0.3,0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,17.9,200,22.2,15.8,200,9.1,7.5,200,16.3,11.2,200,NA,NA,NA,134.7,132.8,80,12,140
78,imbiratanha,24,4,6.2,4,120,1.5,0.6,170,4.9,4.1,200,1.5,1.4,90,2.5,0.7,120,8.5,6.8,200,11,9.5,200,9.8,7.3,200,NA,NA,NA,NA,NA,NA,200,188,200,8.4,154
57,imburana,3,4,7.5,3,110,7,2.5,150,1,0.5,150,NA,NA,NA,NA,NA,NA,13,5,200,27,23,200,18,16.5,120,31.5,18,200,NA,NA,NA,85,76,50,17.5,134
151,imburana,11,2,5.3,2.4,200,4.8,2.6,120,2.8,0.6,200,4.3,3,150,1.2,0.3,150,55.7,39.4,200,49.5,37.4,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,92,100,21,66
76,imburana,3,9,5.5,5,200,7,6.8,200,2.2,2,200,2.3,1.3,200,2.4,1.5,100,23.2,14.3,200,13.7,7.7,200,17.5,12.4,200,NA,NA,NA,NA,NA,NA,97.3,76.8,100,3.9,145
34,ipe,6,NA,8.5,3.1,100,4.1,3.2,100,2.8,2.1,100,2.1,1.6,100,2.4,1,100,51.6,46.6,200,60.9,55.2,200,65,59.3,200,41.6,43,200,15.4,11.4,200,121.4,111.3,50,10.4,77
132,ipe,16,7,1.8,1.5,200,2.4,2.3,150,1.2,0.5,50,2.3,2.1,200,0.6,0.1,100,36.7,33.2,200,28.7,23.4,200,13.8,11.5,200,9.4,8.8,200,55,52.3,200,83.4,75.3,40,7.3,150
118,ipe,17,5,1.8,1.5,100,2.9,1.9,50,1.2,1.1,130,14,7.3,200,6.8,5.5,130,31,26.9,200,28.9,23.3,200,25,22.9,200,18.2,14.5,200,57,51.6,200,112.5,107.3,70,10.3,160
46,jubranca,3,5,8.1,4.4,200,2,0.6,50,2.6,2,100,6.3,1.9,200,NA,NA,NA,23,16.9,200,30.2,25.9,200,32,25,200,24,14.8,200,20,12,200,95,93,50,NA,NA
56,jubranca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,jubranca,12,8,3.1,1.3,200,3.8,1.9,200,1.7,0.7,100,3,1.9,150,NA,NA,NA,20.9,13.6,200,44.6,35.1,200,20.6,14.5,170,8.6,3.9,170,8.7,4.4,200,181,144,120,7.4,130
130,juca,11,7,6.1,5.7,200,2.1,1.3,150,9.1,8.7,170,8.8,6.8,70,5.9,2.7,200,34.2,31.7,150,25,22,200,16,13.8,200,17.3,12.1,200,38,33,100,NA,NA,NA,5.7,140
136,juca,12,6,4.1,2.9,200,2.2,8.7,150,2.2,2,150,1.3,0.7,70,2.1,1.2,50,17.7,14.4,200,13.5,12,200,24.5,20.1,200,16.1,15.1,200,19,17.2,200,NA,NA,NA,19.5,155
145,juca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,jupreta,0,4,1.5,0.7,110,0.6,0.2,110,0.3,0.1,120,NA,NA,NA,65.5,45.8,200,41.3,47.8,200,38.4,37.4,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3,121.4,100,9.4,120
20,jupreta,3,6,19.9,17.5,150,2.8,1.3,40,10.4,6,80,NA,NA,NA,NA,NA,NA,40.4,32.1,150,42.1,41.1,150,22,20.6,130,32.9,30.5,160,23.9,21.5,130,140,134,70,7.6,150
125,jupreta,12,3,9,4.7,200,9.8,7.9,200,6.9,5,150,4.8,4F_df_mm,200,NA,NA,NA,50,48.8,200,40.7,37.7,200,24.6,20.6,150,NA,NA,NA,NA,NA,NA,126,121,50,6.6,155
48,marmeleiro,29,15,4.2,1.4,120,1.4,1.1,60,5.7,4.6,200,3.8,2.1,200,7.4,5.3,100,26.9,15.5,200,17,12.4,200,17.2,5.1,200,18.1,11.4,200,16,15,120,NA,NA,NA,NA ,NA
51,marmeleiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,marmeleiro,16,5,4.5,3.2,200,2.5,1,100,4,3,150,1,0.5,60,3,2,50,10,6.5,200,10,5,200,13.5,10,130,8,6,100,14,11,160,NA,NA,NA,10,120
62,mofumbo,17,5,1.2,0.2,100,3,2.8,200,1,0.5,70,4.3,3,200,4,3,150,16,14,200,29,24,100,22,17.5,70,14.5,13,200,10,9,200,39,NA,NA,11,145
60,mofumbo,3,4,8.2,5.4,200,1.8,0.8,70,1.7,1.3,120,NA,NA,NA,NA,NA,NA,23,21.5,160,21.8,19.9,90,12.5,10.3,100,20.7,13.8,100,NA,NA,NA,39,37.4,100,4.5,120
119,mofumbo,2,4,4.8,2.1,200,2.4,1.7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,26.8,200,15,14.2,200,27.2,22.1,200,26.2,22.8,200,NA,NA,NA,NA,NA,NA,10.4,155
69,mororo,12,6,8.1,7.5,200,7,6.3,200,3.7,3,200,6.3,4.8,200,3.7,3.3,200,102,97,200,24,20.6,200,17.2,15.9,200,9.1,7.1,200,21.9,18.2,200,NA,NA,NA,7.5,65
79,mororo,15,3,9,8.3,200,2.4,2,200,8.9,8.4,200,4.5,4,200,6.2,4.8,170,17.6,16.7,200,34.9,27.8,200,19.4,15.5,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,155
93,mororo,10,4,10.1,7.7,200,7.5,5.6,200,6.2,5,150,6,4.3,130,5.3,5,130,20.6,15.6,200,15.7,14.6,200,21.7,19.4,200,24.2,19.2,200,NA,NA,NA,NA,NA,NA,14.5,150
52,paubranco,10,8,1.5,1.1,200,3.1,1.5,70,2.7,1.8,200,3,1.8,200,4.1,3.2,70,31.6,30.6,380,8.3,8,200,13.7,12,200,23,18.1,200,15,14,200,61,56,100,NA,NA
28,paubranco,7,6,2,0.7,100,4.6,2,150,3.4,2,100,1.7,0.1,100,2.2,1.1,100,41.9,29.7,200,23.9,20.4,200,29.4,27.2,200,16,14.6,200,33,31,200,89,52,50,20.8,170
110,paubranco,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,24.4,200,13.6,12.6,120,11.9,11,150,25.8,22.1,200,30.4,26.6,200,92.1,74.6,90,10,165
101,pereiro,12,9,16,9.5,200,11.8,9.1,200,5.2,4.3,200,1.4,0.4,100,2,1.2,100,71,61.1,200,52,49,200,30,25.6,200,39.2,30.8,200,29.1,25.6,200,154.4,125.6,200,9.8,200
129,pereiro,22,4,7.9,6.9,200,12.7,10.3,200,5.8,5.5,200,13,9.8,200,2.6,2.5,100,54,51,170,49.7,46.6,200,40.2,39.6,150,19.2,17.2,200,NA,NA,NA,NA,NA,NA,5.9,155
147,pereiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,umbu,2,2,18.9,15.7,100,7.4,5.4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,77.3,200,54.9,45.4,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,130
115,umbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,umbu,4,2,4.5,3.7,70,4.4,3.4,120,2.8,3.6,100,7.4,5.7,200,NA,NA,NA,30.8,27.4,100,30.4,28,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,160
